


Epoch [120/200], Average Loss: 0.512, Train Acc: 0.890, Train IoU: 0.799,Validation Acc: 0.856, Validation IoU: 0.679
Epoch [121/200], Average Loss: 0.514, Train Acc: 0.899, Train IoU: 0.797,Validation Acc: 0.860, Validation IoU: 0.678
Epoch [122/200], Average Loss: 0.511, Train Acc: 0.887, Train IoU: 0.799,Validation Acc: 0.854, Validation IoU: 0.676
Epoch [123/200], Average Loss: 0.513, Train Acc: 0.887, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.676
Epoch [124/200], Average Loss: 0.513, Train Acc: 0.888, Train IoU: 0.797,Validation Acc: 0.854, Validation IoU: 0.673
Epoch [125/200], Average Loss: 0.512, Train Acc: 0.888, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.671
Epoch [126/200], Average Loss: 0.512, Train Acc: 0.900, Train IoU: 0.798,Validation Acc: 0.861, Validation IoU: 0.674
Epoch [127/200], Average Loss: 0.512, Train Acc: 0.847, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.672
Epoch [128/200], Average Loss: 0.513, Train Acc: 0.836, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.674
Epoch [129/200], Average Loss: 0.514, Train Acc: 0.850, Train IoU: 0.797,Validation Acc: 0.851, Validation IoU: 0.673
Epoch [130/200], Average Loss: 0.512, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.678
Epoch [131/200], Average Loss: 0.511, Train Acc: 0.891, Train IoU: 0.799,Validation Acc: 0.855, Validation IoU: 0.673
Epoch [132/200], Average Loss: 0.513, Train Acc: 0.902, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.676
Epoch [133/200], Average Loss: 0.513, Train Acc: 0.872, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.676
Epoch [134/200], Average Loss: 0.512, Train Acc: 0.828, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.672
Epoch [135/200], Average Loss: 0.513, Train Acc: 0.820, Train IoU: 0.797,Validation Acc: 0.855, Validation IoU: 0.680
Epoch [136/200], Average Loss: 0.513, Train Acc: 0.868, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.674
Epoch [137/200], Average Loss: 0.512, Train Acc: 0.912, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.679
Epoch [138/200], Average Loss: 0.513, Train Acc: 0.905, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.678
Epoch [139/200], Average Loss: 0.512, Train Acc: 0.852, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.675
Epoch [140/200], Average Loss: 0.513, Train Acc: 0.853, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.672
Epoch [141/200], Average Loss: 0.513, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.676
Epoch [142/200], Average Loss: 0.513, Train Acc: 0.909, Train IoU: 0.797,Validation Acc: 0.850, Validation IoU: 0.672
Epoch [143/200], Average Loss: 0.514, Train Acc: 0.778, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.668
Epoch [144/200], Average Loss: 0.512, Train Acc: 0.881, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.671
Epoch [145/200], Average Loss: 0.512, Train Acc: 0.873, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.679
Epoch [146/200], Average Loss: 0.512, Train Acc: 0.908, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.679
Epoch [147/200], Average Loss: 0.513, Train Acc: 0.863, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.675
Epoch [148/200], Average Loss: 0.513, Train Acc: 0.887, Train IoU: 0.797,Validation Acc: 0.856, Validation IoU: 0.676
Epoch [149/200], Average Loss: 0.512, Train Acc: 0.916, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.677
Epoch [150/200], Average Loss: 0.512, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.675
Epoch [151/200], Average Loss: 0.512, Train Acc: 0.885, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.674
Epoch [152/200], Average Loss: 0.514, Train Acc: 0.863, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.675
Epoch [153/200], Average Loss: 0.513, Train Acc: 0.881, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.669
Epoch [154/200], Average Loss: 0.512, Train Acc: 0.911, Train IoU: 0.798,Validation Acc: 0.861, Validation IoU: 0.680
Epoch [155/200], Average Loss: 0.513, Train Acc: 0.864, Train IoU: 0.797,Validation Acc: 0.856, Validation IoU: 0.675
Epoch [156/200], Average Loss: 0.511, Train Acc: 0.800, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.675
Epoch [157/200], Average Loss: 0.514, Train Acc: 0.899, Train IoU: 0.797,Validation Acc: 0.858, Validation IoU: 0.673
Epoch [158/200], Average Loss: 0.512, Train Acc: 0.905, Train IoU: 0.798,Validation Acc: 0.862, Validation IoU: 0.678
Epoch [159/200], Average Loss: 0.513, Train Acc: 0.888, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.675
Epoch [160/200], Average Loss: 0.514, Train Acc: 0.874, Train IoU: 0.797,Validation Acc: 0.854, Validation IoU: 0.672
Epoch [161/200], Average Loss: 0.513, Train Acc: 0.893, Train IoU: 0.798,Validation Acc: 0.864, Validation IoU: 0.679
Epoch [162/200], Average Loss: 0.514, Train Acc: 0.899, Train IoU: 0.797,Validation Acc: 0.856, Validation IoU: 0.676
Epoch [163/200], Average Loss: 0.513, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.677
Epoch [164/200], Average Loss: 0.513, Train Acc: 0.884, Train IoU: 0.798,Validation Acc: 0.868, Validation IoU: 0.680
Epoch [165/200], Average Loss: 0.512, Train Acc: 0.898, Train IoU: 0.799,Validation Acc: 0.855, Validation IoU: 0.675
Epoch [166/200], Average Loss: 0.512, Train Acc: 0.915, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.674
Epoch [167/200], Average Loss: 0.512, Train Acc: 0.869, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.677
Epoch [168/200], Average Loss: 0.514, Train Acc: 0.907, Train IoU: 0.797,Validation Acc: 0.854, Validation IoU: 0.674
Epoch [169/200], Average Loss: 0.512, Train Acc: 0.877, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.677
Epoch [170/200], Average Loss: 0.512, Train Acc: 0.853, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.666
Epoch [171/200], Average Loss: 0.512, Train Acc: 0.852, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.676
Epoch [172/200], Average Loss: 0.513, Train Acc: 0.870, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.675
Epoch [173/200], Average Loss: 0.512, Train Acc: 0.906, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.680
Epoch [174/200], Average Loss: 0.512, Train Acc: 0.904, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.677
Epoch [175/200], Average Loss: 0.513, Train Acc: 0.929, Train IoU: 0.798,Validation Acc: 0.868, Validation IoU: 0.683
Epoch [176/200], Average Loss: 0.512, Train Acc: 0.888, Train IoU: 0.798,Validation Acc: 0.864, Validation IoU: 0.682
Epoch [177/200], Average Loss: 0.513, Train Acc: 0.901, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.675
Epoch [178/200], Average Loss: 0.511, Train Acc: 0.888, Train IoU: 0.799,Validation Acc: 0.852, Validation IoU: 0.674
Epoch [179/200], Average Loss: 0.515, Train Acc: 0.870, Train IoU: 0.797,Validation Acc: 0.850, Validation IoU: 0.672
Epoch [180/200], Average Loss: 0.512, Train Acc: 0.915, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.677
Epoch [181/200], Average Loss: 0.511, Train Acc: 0.882, Train IoU: 0.799,Validation Acc: 0.854, Validation IoU: 0.679
Epoch [182/200], Average Loss: 0.511, Train Acc: 0.886, Train IoU: 0.798,Validation Acc: 0.863, Validation IoU: 0.680
Epoch [183/200], Average Loss: 0.512, Train Acc: 0.909, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.670
Epoch [184/200], Average Loss: 0.512, Train Acc: 0.847, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.676
Epoch [185/200], Average Loss: 0.513, Train Acc: 0.912, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.674
Epoch [186/200], Average Loss: 0.513, Train Acc: 0.846, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.675
Epoch [187/200], Average Loss: 0.513, Train Acc: 0.851, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.677
Epoch [188/200], Average Loss: 0.512, Train Acc: 0.824, Train IoU: 0.798,Validation Acc: 0.847, Validation IoU: 0.671
Epoch [189/200], Average Loss: 0.513, Train Acc: 0.912, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.677
Epoch [190/200], Average Loss: 0.512, Train Acc: 0.923, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.676
Epoch [191/200], Average Loss: 0.512, Train Acc: 0.871, Train IoU: 0.799,Validation Acc: 0.851, Validation IoU: 0.676
Epoch [192/200], Average Loss: 0.512, Train Acc: 0.900, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.674
Epoch [193/200], Average Loss: 0.511, Train Acc: 0.886, Train IoU: 0.799,Validation Acc: 0.858, Validation IoU: 0.674
Epoch [194/200], Average Loss: 0.512, Train Acc: 0.871, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.681
Epoch [195/200], Average Loss: 0.513, Train Acc: 0.906, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.678
Epoch [196/200], Average Loss: 0.512, Train Acc: 0.898, Train IoU: 0.798,Validation Acc: 0.865, Validation IoU: 0.681
Epoch [197/200], Average Loss: 0.513, Train Acc: 0.923, Train IoU: 0.798,Validation Acc: 0.844, Validation IoU: 0.669
Epoch [198/200], Average Loss: 0.511, Train Acc: 0.864, Train IoU: 0.799,Validation Acc: 0.860, Validation IoU: 0.677
Epoch [199/200], Average Loss: 0.513, Train Acc: 0.892, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.675
Epoch [200/200], Average Loss: 0.513, Train Acc: 0.874, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.675
Epoch [1/200], Average Loss: 0.615, Train Acc: 0.877, Train IoU: 0.727,Validation Acc: 0.855, Validation IoU: 0.654
Epoch [2/200], Average Loss: 0.599, Train Acc: 0.855, Train IoU: 0.732,Validation Acc: 0.858, Validation IoU: 0.656
Epoch [3/200], Average Loss: 0.590, Train Acc: 0.872, Train IoU: 0.737,Validation Acc: 0.863, Validation IoU: 0.677
Epoch [4/200], Average Loss: 0.576, Train Acc: 0.729, Train IoU: 0.745,Validation Acc: 0.869, Validation IoU: 0.654
Epoch [5/200], Average Loss: 0.564, Train Acc: 0.907, Train IoU: 0.750,Validation Acc: 0.834, Validation IoU: 0.640
Epoch [6/200], Average Loss: 0.553, Train Acc: 0.851, Train IoU: 0.754,Validation Acc: 0.858, Validation IoU: 0.686
